date,produce,weight
2011-04-12,greens,12
2011-05-03,kale,10
2011-05-03,leeks,3.5
2011-06-06,radishes,1.5
2011-06-14,lettuce,20.5
2011-06-14,kale,8
2011-06-14,lettuce,9
2011-06-14,onions,12
2011-06-14,kale,4.5
2011-06-14,chard,6
2011-06-14,lettuce,4
2011-06-14,chard,7
2011-06-14,radishes,10
2011-06-14,lettuce,3
2011-06-14,onions,10
2011-06-14,collards,3.5
2011-06-14,radishes,2
2011-06-14,herbs,2.5
2011-06-20,lettuce,3
2011-06-20,radishes,2
2011-06-21,onions,2.5
2011-06-21,radishes,3
2011-06-21,herbs,0.5
2011-06-21,chard,3
2011-06-21,collards,5
2011-06-21,kale,5.5
2011-06-21,onions,4
2011-06-21,chard,1
2011-06-21,lettuce,37
2011-06-21,kale,7.5
2011-06-21,chard,1
2011-06-21,lettuce,11.5
2011-06-28,lettuce,28
2011-06-28,chard,5
2011-06-28,radishes,6
2011-06-28,kale,8
2011-06-28,lettuce,16
2011-06-28,chard,2
2011-06-28,lettuce,17.5
2011-06-28,kale,3
2011-06-28,chard,4.5
2011-06-28,onions,11
2011-07-02,greens,1
2011-07-04,lettuce,2
2011-07-05,greens,6.5
2011-07-05,lettuce,9
2011-07-05,herbs,3
2011-07-05,greens,8
2011-07-05,lettuce,14
2011-07-05,onions,25
2011-07-05,lettuce,6
2011-07-05,onions,20
2011-07-05,lettuce,12.5
2011-07-11,lettuce,1
2011-07-12,lettuce,29.5
2011-07-12,squash,6
2011-07-12,lettuce,6
2011-07-12,beets,13.5
2011-07-12,greens,7.5
2011-07-12,kale,1.5
2011-07-12,chard,17
2011-07-12,beets,9
2011-07-12,potatoes,25
2011-07-12,onions,9
2011-07-12,potatoes,25
2011-07-18,beets,5
2011-07-18,greens,1
2011-07-18,onions,1.5
2011-07-19,beets,15
2011-07-19,spinach,10.5
2011-07-19,lettuce,19
2011-07-19,chard,4
2011-07-19,potatoes,3.5
2011-07-19,oregano,2
2011-07-19,onions,39
2011-07-19,zucchini,4.5
2011-07-19,beets,3.5
2011-07-19,onions,4
2011-07-19,lettuce,4
2011-07-19,greens,14
2011-07-19,herbs,4
2011-07-19,onions,56
2011-07-19,potatoes,14
2011-07-19,lettuce,6
2011-07-25,onions,1
2011-07-25,greens,1
2011-07-26,onions,25
2011-07-26,kale,6
2011-07-26,lettuce,13.5
2011-07-26,chard,5
2011-07-26,potatoes,15.5
2011-07-26,chard,3.5
2011-07-26,beets,40
2011-07-26,beans,5
2011-07-26,chard,2
2011-07-26,zucchini,22
2011-07-30,zucchini,1.5
2011-07-30,beans,1.5
2011-08-01,kale,2
2011-08-01,beans,3.5
2011-08-01,beets,6
2011-08-01,onions,3
2011-08-01,zucchini,5
2011-08-01,onions,10.5
2011-08-01,chard,6
2011-08-01,beans,13
2011-08-01,cauliflower,1
2011-08-01,squash,7
2011-08-01,lettuce,10
2011-08-02,beets,18
2011-08-02,beans,1
2011-08-02,leeks,1.5
2011-08-02,chard,10
2011-08-02,onions,9
2011-08-04,potatoes,3
2011-08-08,beans,1
2011-08-08,onions,1.5
2011-08-08,beets,2.5
2011-08-08,zucchini,2.5
2011-08-08,zucchini,2
2011-08-08,onions,6
2011-08-08,beets,6
2011-08-08,zucchini,28
2011-08-08,basil,1.5
2011-08-09,beets,23
2011-08-09,kale,10.5
2011-08-09,beans,18.5
2011-08-09,beets,5
2011-08-09,lettuce,2.5
2011-08-09,chard,11.5
2011-08-09,potatoes,19
2011-08-09,lettuce,11
2011-08-09,beets,7.5
2011-08-09,kale,4
2011-08-09,onions,8
2011-08-09,chard,1.5
2011-08-09,lettuce,3
2011-08-09,basil,1
2011-08-09,greens,3
2011-08-09,beets,5
2011-08-09,leeks,1
2011-08-09,beans,6
2011-08-09,zucchini,30
2011-08-09,beets,25
2011-08-09,kale,15
2011-08-16,chard,7.5
2011-08-16,kale,18
2011-08-16,chard,3.5
2011-08-16,kale,4
2011-08-16,beets,12
2011-08-16,potatoes,1.5
2011-08-22,beans,3
2011-08-23,zucchini,23
2011-08-23,cucumbers,2
2011-08-23,tomatoes,7
2011-08-23,beets,41
2011-08-23,cucumbers,3.5
2011-08-23,beans,15
2011-08-23,beets,19
2011-08-23,leeks,0.5
2011-08-23,chard,5
2011-08-23,zucchini,6
2011-08-23,basil,0.5
2011-08-23,kale,9.5
2011-08-23,chard,4.5
2011-08-27,herbs,1.5
2011-08-28,zucchini,3
2011-08-28,beets,4.5
2011-08-28,tomatoes,1.5
2011-08-28,tomatoes,10
2011-08-30,kale,3.5
2011-08-30,cucumbers,1
2011-08-30,beets,17
2011-08-30,chard,10
2011-08-30,squash,19
2011-08-30,beans,8
2011-08-30,basil,1
2011-08-30,beets,1
2011-09-03,tomatoes,6.5
2011-09-03,chard,0.5
2011-09-03,beans,1
2011-09-03,zucchini,3
2011-09-03,kale,3
2011-09-05,tomatoes,2
2011-09-05,chard,0.5
2011-09-05,zucchini,1
2011-09-05,tomatoes,8.5
2011-09-05,greens,6
2011-09-06,green beans,1
2011-09-06,kale,3
2011-09-06,beets,22
2011-09-06,chard,5.5
2011-09-06,hubard squash,26
2011-09-06,cabbage,24
2011-09-06,kale,4.5
2011-09-06,cucumbers,1
2011-09-06,beans,1
2011-09-10,beets,3
2011-09-10,summer squash,3.5
2011-09-10,tomatoes,4.5
2011-09-13,zucchini,25
2011-09-13,tomatoes,21
2011-09-13,beets,23
2011-09-13,beans,11
2011-09-13,greens,9
2011-09-13,winter squash,8
2011-09-13,cabbage,4
2011-09-13,winter squash,22
2011-09-13,kale,2
2011-09-13,chard,8
2011-09-13,beets,1
2011-09-17,zucchini,2
2011-09-17,tomatoes,5
2011-09-19,beets,5
2011-09-19,beans,2
2011-09-19,tomatoes,2.5
2011-09-19,basil,0.5
2011-09-19,zucchini,1
2011-09-21,winter squash,50
2011-09-21,kale,6.5
2011-09-21,tomatoes,13.5
2011-09-21,beets,18
2011-09-21,lettuce,15
2011-09-21,beets,14
2011-09-21,greens,19.5
2011-09-21,beans,3
2011-09-21,herbs,0.5
2011-09-21,chard,2
2011-09-21,beans,1
2011-09-26,tomatoes,8
2011-09-26,lettuce,3
2011-09-26,beans,1
2011-09-27,lettuce,8
2011-09-27,beans,1.5
2011-09-27,beets,8
2011-09-27,chard,1.5
2011-09-27,tomatoes,4
2011-09-27,beans,3
2011-09-27,basil,1
2011-09-27,kale,6
2011-09-27,lettuce,10
2011-09-27,tomatoes,13.5
2011-09-27,beets,8
2011-09-27,greens,2.5
2011-09-27,winter squash,17.5
2011-09-27,winter squash,25.5
