date,produce,weight
2011-09-27,beets,8.5
2011-10-04,squash,2.5
2011-10-04,beets,2.5
2011-10-04,cucumbers,1
2011-10-04,chard,8
2011-10-04,lettuce,15
2011-10-04,beans,3
2011-10-04,lettuce,11
2011-10-04,kale,5
2011-10-04,chard,6
2011-10-04,beets,15
2011-10-04,tomatoes,12
2011-10-04,winter squash,52.5
2011-10-04,beets,9
2011-10-04,chard,2
2011-10-11,lettuce,4
2011-10-11,beets,8
2011-10-11,greens,3.5
2011-10-11,beets,10
2011-10-11,greens,3
2011-10-11,tomatoes,53
2011-10-11,beets,5
2011-10-11,onions,6
2011-10-11,tomatoes,2
2011-10-11,beets,27.5
2011-10-18,beets,52
2011-10-18,greens,6
2011-10-18,kale,15
2011-10-18,chard,3
2011-10-18,tomatoes,15
2011-10-18,beans,2
2011-10-18,chard,12.5
