date,produce,weight
2009-04-14,kale,27
2009-04-21,chard,3.5
2009-04-21,kale,2
2009-04-21,kale,9
2009-04-21,kale,16
2009-04-21,greens,3.5
2009-04-21,greens,7.5
2009-04-21,potatoes,4.5
2009-04-28,kale,5
2009-05-12,kale,7
2009-05-12,kale,11
2009-05-12,mustard,7
2009-05-12,onion,1
2009-05-12,potatoes,4
2009-05-26,lettuce,5.5
2009-05-26,greens,5
2009-06-03,broccoli,4
2009-06-03,lettuce,28.5
2009-06-03,peas,0.5
2009-06-09,broccoli,1
2009-06-09,chard,14
2009-06-09,chard,3.5
2009-06-09,green onions,17
2009-06-09,green onions,8
2009-06-09,herbs,1
2009-06-09,lettuce,57
2009-06-09,lettuce,15
2009-06-09,lettuce,11
2009-06-09,peas,11
2009-06-09,radishes,0.5
2009-06-09,rhubarb,2
2009-06-09,peas,1.5
2009-06-16,beets,31
2009-06-16,broccoli,2
2009-06-16,chard,23.5
2009-06-16,chard,5
2009-06-16,lettuce,33
2009-06-16,peas,6.5
2009-06-23,chard,11.5
2009-06-23,chard,5
2009-06-23,herbs,0.5
2009-06-23,lettuce,12.5
2009-06-23,lettuce,11.5
2009-06-23,lettuce,7
2009-06-23,lettuce,8
2009-06-23,lettuce,8.5
2009-06-23,lettuce,9.5
2009-06-23,lettuce,10.5
2009-06-23,lettuce,9
2009-06-23,peas,13
2009-06-30,beets,8
2009-06-30,beets,27
2009-06-30,beets,25
2009-06-30,beets,10.5
2009-06-30,carrots,8
2009-06-30,chard,5
2009-06-30,kale,4.5
2009-06-30,onion,30
2009-06-30,peas,9
2009-07-04,beets,2.5
2009-07-04,carrots,4
2009-07-04,greens,3
2009-07-07,beets,28
2009-07-07,carrots,5
2009-07-07,chard,8
2009-07-07,chard,8
2009-07-07,chard,8
2009-07-07,greens,3
2009-07-07,herbs,1
2009-07-07,lettuce,11.5
2009-07-07,lettuce,12
2009-07-12,beets,21
2009-07-12,carrots,4.5
2009-07-12,chard,1
2009-07-12,lettuce,1
2009-07-12,potatoes,5
2009-07-14,basil,0.5
2009-07-14,beets,8
2009-07-14,carrots,10
2009-07-14,chard,6
2009-07-14,chard,8
2009-07-14,chard,4
2009-07-14,chard,1
2009-07-14,chard,6
2009-07-14,kale,6
2009-07-14,lettuce,9
2009-07-14,lettuce,4
2009-07-14,lettuce,3
2009-07-14,lettuce,3
2009-07-14,onion,10
2009-07-14,onion,6
2009-07-14,onion,3.5
2009-07-21,beans,3
2009-07-21,beets,12.5
2009-07-21,beets,6.5
2009-07-21,chard,10.25
2009-07-21,chard,4.5
2009-07-21,greens,12
2009-07-21,lettuce,15
2009-07-21,onion,20
2009-07-21,plums,75
2009-07-21,potatoes,26.25
2009-07-21,squash,6.5
2009-07-21,tomatoes,3
2009-07-25,cucumbers,0.5
2009-07-25,greens,1.5
2009-07-25,onion,2
2009-07-25,squash,0.5
2009-07-25,tomatoes,0.5
2009-07-27,chard,1
2009-07-28,chard,4.5
2009-07-28,chard,5
2009-07-28,cucumbers,4
2009-07-28,lettuce,4.5
2009-07-28,plums,29
2009-07-28,potatoes,5
2009-07-28,squash,4
2009-07-28,tomatoes,4
2009-07-31,onion,6
2009-07-31,potatoes,13
2009-08-01,beets,6.5
2009-08-01,chard,9
2009-08-01,chard,18.5
2009-08-01,cucumbers,2
2009-08-01,lettuce,10
2009-08-01,potatoes,8
2009-08-01,squash,2
2009-08-01,tomatoes,1
2009-08-04,beans,8
2009-08-04,cucumbers,3
2009-08-04,plums,18
2009-08-04,potatoes,84
2009-08-04,squash,3
2009-08-04,tomatoes,8
2009-08-04,zucchini,2
2009-08-08,beans,3.5
2009-08-08,cucumbers,2.5
2009-08-08,herbs,0.5
2009-08-08,squash,12
2009-08-08,tomatoes,5
2009-08-08,zucchini,1.5
2009-08-11,beans,1.5
2009-08-11,beans,2.5
2009-08-11,beets,16
2009-08-11,beets,5.5
2009-08-11,chard,6
2009-08-11,chard,5
2009-08-11,cucumbers,4
2009-08-11,figs,7
2009-08-11,herbs,2
2009-08-11,kale,6
2009-08-11,kale,5
2009-08-11,lettuce,4
2009-08-11,lettuce,5
2009-08-11,onion,2
2009-08-11,onion,6.5
2009-08-11,potatoes,20
2009-08-11,tomatoes,16
2009-08-11,zucchini,13
2009-08-15,cucumbers,1.5
2009-08-15,kale,2
2009-08-15,squash,4
2009-08-15,tomatoes,2
2009-08-16,beans,0.5
2009-08-16,cucumbers,1
2009-08-16,lettuce,0.5
2009-08-16,tomatoes,1
2009-08-18,beans,8
2009-08-18,beans,3
2009-08-18,beets,5.5
2009-08-18,beets,3.5
2009-08-18,cucumbers,5.25
2009-08-18,cucumbers,1
2009-08-18,lettuce,7.5
2009-08-18,radishes,1.5
2009-08-18,squash,29.5
2009-08-18,tomatoes,18
2009-08-18,tomatoes,3
2009-08-22,beans,1.75
2009-08-22,tomatoes,2
2009-08-22,zucchini,1
2009-08-25,beans,2.5
2009-08-25,beans,12
2009-08-25,beets,3
2009-08-25,chard,7
2009-08-25,chard,1
2009-08-25,cucumbers,7
2009-08-25,herbs,0.5
2009-08-25,kale,2
2009-08-25,lettuce,10.25
2009-08-25,radishes,5.5
2009-08-25,squash,28
2009-08-25,tomatoes,49.5
2009-08-29,beans,2
2009-08-29,chard,12.75
2009-08-29,tomatoes,10.25
2009-08-29,zucchini,2
2009-09-01,basil,1
2009-09-01,beans,32
2009-09-01,beans,8
2009-09-01,beets,8
2009-09-01,cucumbers,9
2009-09-01,greens,9
2009-09-01,lettuce,7
2009-09-01,radishes,2
2009-09-01,squash,27
2009-09-01,tomatoes,28.25
2009-09-01,tomatoes,16
2009-09-01,tomatoes,3
2009-09-01,tomatoes,1.5
2009-09-01,tomatoes,2
2009-09-01,zucchini,10
2009-09-05,beans,2.5
2009-09-05,chard,2.5
2009-09-05,cucumbers,5
2009-09-05,kale,2
2009-09-05,squash,5
2009-09-05,tomatoes,5
2009-09-05,tomatoes,4
2009-09-08,beans,13.5
2009-09-08,beans,5
2009-09-08,beets,5
2009-09-08,cucumbers,6
2009-09-08,lettuce,7
2009-09-08,squash,20
2009-09-08,tomatoes,13
2009-09-08,tomatoes,10.5
2009-09-08,tomatoes,5
2009-09-08,tomatoes,5
